article_id,dataset_id,repository
10.1042/BCJ20220161,AF-Q5S007-F1_v1,AlphaFold Protein Structure Database
10.3390/biom13101505,PRJEB59994,BioProject
10.1038/s41467-022-34667-x,PRJNA834801,BioProject
10.1101/2022.07.20.500694,PRJEB17784,BioProject
10.1101/2022.07.20.500694,PRJNA433459,BioProject
10.1101/2022.06.08.495316,PRJNA834801,BioProject
10.1101/2023.04.20.537553,CNP0003397,CNGB
10.1016/j.cell.2022.05.008,phs000101.v3.p1,NCBI dbGaP (DataBase of Genotypes And Phenotypesgenotypes and phenotypes)
10.1016/j.cell.2022.05.008,phs000089.v3.p2,NCBI dbGaP (DataBase of Genotypes And Phenotypesgenotypes and phenotypes)
10.1016/j.cell.2022.05.008,phs000048.v1.p1,NCBI dbGaP (DataBase of Genotypes And Phenotypesgenotypes and phenotypes)
10.1016/j.cell.2022.05.008,phs000126.v2.p1,NCBI dbGaP (DataBase of Genotypes And Phenotypesgenotypes and phenotypes)
10.1016/j.cell.2022.05.008,phs000918.v1.p1,NCBI dbGaP (DataBase of Genotypes And Phenotypesgenotypes and phenotypes)
10.1016/j.cell.2022.05.008,phs000394.v1.p1,NCBI dbGaP (DataBase of Genotypes And Phenotypesgenotypes and phenotypes)
10.1016/j.cell.2022.05.008,phs000127.v2.p1,NCBI dbGaP (DataBase of Genotypes And Phenotypesgenotypes and phenotypes)
10.1016/j.cell.2022.05.008,phs000344.v1.p1,NCBI dbGaP (DataBase of Genotypes And Phenotypesgenotypes and phenotypes)
10.7554/eLife.67900,10.5061/dryad.76hdr7sxx,Dryad
10.1038/s41594-022-00863-y,EMPIAR-10925,Electron Microscopy Public Image Archive (EMPIAR)
10.1038/s41594-022-00863-y,EMPIAR-10921,Electron Microscopy Public Image Archive (EMPIAR)
10.1038/s41594-022-00863-y,EMPIAR-10924,Electron Microscopy Public Image Archive (EMPIAR)
10.1073/pnas.2203769119,EMPIAR-10962,Electron Microscopy Public Image Archive (EMPIAR)
10.1101/2022.03.08.482579,EMPIAR-10962,Electron Microscopy Public Image Archive (EMPIAR)
10.1101/2022.10.21.513169,ENCSR462COR,ENCODE
10.1101/2022.10.21.513169,ENCSR169YNI,ENCODE
10.1101/2022.10.21.513169,ENCSR257YUB,ENCODE
10.1101/2022.10.21.513169,ENCSR690QHM,ENCODE
10.1101/2022.10.21.513169,ENCSR316ZTD,ENCODE
10.1101/2022.10.21.513169,ENCSR697ASE,ENCODE
10.1101/2022.10.21.513169,ENCSR094NFM,ENCODE
10.1101/2022.10.21.513169,ENCSR463IDK,ENCODE
10.1101/2022.10.21.513169,ENCSR205QMF,ENCODE
10.1101/2024.02.02.578624,BDGP6.32,Ensembl
10.1101/2023.06.07.544051,ENSG00000165782,Ensembl
10.1101/2023.03.29.534370,Ensemble 97,Ensembl
